model,regime,prompt_id,utility_mean,css_primary
gemma4_e4b,clarification_first,cat1_adapted_001,4.666666666666667,0.043123
gemma4_e4b,clarification_first,cat1_adapted_002,4.8889,0.032938666666666665
gemma4_e4b,clarification_first,cat1_adapted_003,4.3333,0.024396666666666667
gemma4_e4b,clarification_first,cat1_adapted_004,3.999966666666667,0.03600999999999999
gemma4_e4b,clarification_first,cat1_adapted_005,4.777766666666667,0.021982
gemma4_e4b,clarification_first,cat1_orig_001,5.0,0.009418000000000001
gemma4_e4b,clarification_first,cat1_orig_002,3.6666666666666665,0.020308666666666666
gemma4_e4b,clarification_first,cat1_orig_003,5.0,0.050014
gemma4_e4b,clarification_first,cat1_orig_004,5.0,0.006393333333333333
gemma4_e4b,clarification_first,cat1_orig_005,5.0,0.0053300000000000005
gemma4_e4b,clarification_first,cat1_orig_006,5.0,0.025407
gemma4_e4b,clarification_first,cat1_orig_007,5.0,0.016311333333333334
gemma4_e4b,clarification_first,cat1_orig_008,5.0,0.035098333333333336
gemma4_e4b,clarification_first,cat1_orig_009,5.0,0.03357433333333333
gemma4_e4b,clarification_first,cat1_orig_010,5.0,0.03179333333333333
gemma4_e4b,clarification_first,cat1_real_001,4.2222,0.03820333333333333
gemma4_e4b,clarification_first,cat1_real_002,5.0,0.023835333333333333
gemma4_e4b,clarification_first,cat1_real_003,5.0,0.03848666666666667
gemma4_e4b,clarification_first,cat1_real_004,5.0,0.017638666666666667
gemma4_e4b,clarification_first,cat1_real_005,4.4444333333333335,0.028847333333333336
gemma4_e4b,clarification_first,cat2_adapted_001,4.111133333333333,0.039149333333333335
gemma4_e4b,clarification_first,cat2_adapted_002,5.0,0.01626
gemma4_e4b,clarification_first,cat2_adapted_003,5.0,0.016823666666666667
gemma4_e4b,clarification_first,cat2_adapted_004,3.7777666666666665,0.023041999999999997
gemma4_e4b,clarification_first,cat2_adapted_005,4.0,0.04181133333333333
gemma4_e4b,clarification_first,cat2_orig_001,3.6666666666666665,0.022366666666666663
gemma4_e4b,clarification_first,cat2_orig_002,4.666666666666667,0.02721066666666667
gemma4_e4b,clarification_first,cat2_orig_003,4.5555666666666665,0.02619366666666667
gemma4_e4b,clarification_first,cat2_orig_004,3.555566666666667,0.012807666666666667
gemma4_e4b,clarification_first,cat2_orig_005,3.8889,0.03437766666666667
gemma4_e4b,clarification_first,cat2_orig_006,4.2222,0.032052333333333335
